[2024-09-19T19:13:39.875+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:13:30.437483+00:00 [queued]>
[2024-09-19T19:13:39.885+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:13:30.437483+00:00 [queued]>
[2024-09-19T19:13:39.887+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-09-19T19:13:39.898+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-09-19 19:13:30.437483+00:00
[2024-09-19T19:13:39.908+0000] {standard_task_runner.py:57} INFO - Started process 1913 to run task
[2024-09-19T19:13:39.914+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-09-19T19:13:30.437483+00:00', '--job-id', '68', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp4x091e7g']
[2024-09-19T19:13:39.917+0000] {standard_task_runner.py:85} INFO - Job 68: Subtask generate_txn_fact_data
[2024-09-19T19:13:39.968+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:13:30.437483+00:00 [running]> on host 48913e9acee9
[2024-09-19T19:13:40.108+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-09-19T19:13:30.437483+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-19T19:13:30.437483+00:00'
[2024-09-19T19:13:40.116+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-19T19:13:40.119+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-09-19T19:13:40.124+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-19T19:13:40.234+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-09-19T19:13:40.234+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-09-19T19:13:40.237+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1699730020236, 'account_id': 'A00037', 'customer_id': 'C00027', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00040', 'transaction_amount': 6313.6, 'exchange_rate': 0.8805}
[2024-09-19T19:13:40.238+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1707506020238, 'account_id': 'A00021', 'customer_id': 'C00094', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00051', 'transaction_amount': 7430.28, 'exchange_rate': 0.8763}
[2024-09-19T19:13:40.238+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1712344420238, 'account_id': 'A00033', 'customer_id': 'C00015', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00072', 'transaction_amount': 2663.91, 'exchange_rate': 1.3634}
[2024-09-19T19:13:40.239+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1716146020238, 'account_id': 'A00098', 'customer_id': 'C00063', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00080', 'transaction_amount': 5377.64, 'exchange_rate': 1.1951}
[2024-09-19T19:13:40.239+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-19T19:13:40.239+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1726082020239, 'account_id': 'A00100', 'customer_id': 'C00013', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00069', 'transaction_amount': 8082.39, 'exchange_rate': 1.157}
[2024-09-19T19:13:40.240+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1703877220240, 'account_id': 'A00073', 'customer_id': 'C00052', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00078', 'transaction_amount': 2695.6, 'exchange_rate': 1.4163}
[2024-09-19T19:13:40.240+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1703618020240, 'account_id': 'A00080', 'customer_id': 'C00070', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00094', 'transaction_amount': 6193.85, 'exchange_rate': 1.4812}
[2024-09-19T19:13:40.240+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1706037220240, 'account_id': 'A00035', 'customer_id': 'C00043', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00061', 'transaction_amount': 482.98, 'exchange_rate': 1.2919}
[2024-09-19T19:13:40.240+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1709579620240, 'account_id': 'A00031', 'customer_id': 'C00078', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00027', 'transaction_amount': 7483.41, 'exchange_rate': 0.7921}
[2024-09-19T19:13:40.241+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1713294820241, 'account_id': 'A00011', 'customer_id': 'C00069', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00082', 'transaction_amount': 1906.36, 'exchange_rate': 0.9931}
[2024-09-19T19:13:40.241+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1715627620241, 'account_id': 'A00062', 'customer_id': 'C00031', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00064', 'transaction_amount': 3971.39, 'exchange_rate': 0.8486}
[2024-09-19T19:13:40.241+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000012', 'transaction_date': 1703099620241, 'account_id': 'A00003', 'customer_id': 'C00036', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00015', 'transaction_amount': 3148.72, 'exchange_rate': 0.7285}
[2024-09-19T19:13:40.241+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000013', 'transaction_date': 1716750820241, 'account_id': 'A00031', 'customer_id': 'C00056', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00010', 'transaction_amount': 5901.25, 'exchange_rate': 0.6314}
[2024-09-19T19:13:40.241+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000014', 'transaction_date': 1696533220241, 'account_id': 'A00020', 'customer_id': 'C00095', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00032', 'transaction_amount': 2674.23, 'exchange_rate': 0.9798}
