[2024-09-19T18:05:39.856+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-09-17T00:00:00+00:00 [queued]>
[2024-09-19T18:05:51.324+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-09-17T00:00:00+00:00 [queued]>
[2024-09-19T18:05:52.330+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-09-19T18:06:09.057+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-09-17 00:00:00+00:00
[2024-09-19T18:06:11.380+0000] {standard_task_runner.py:57} INFO - Started process 305 to run task
[2024-09-19T18:06:15.184+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-09-17T00:00:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp083qh3nh']
[2024-09-19T18:06:16.538+0000] {standard_task_runner.py:85} INFO - Job 15: Subtask generate_txn_fact_data
[2024-09-19T18:06:31.994+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-09-17T00:00:00+00:00 [running]> on host 035d47951d03
[2024-09-19T18:07:04.534+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-09-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-09-17T00:00:00+00:00'
[2024-09-19T18:07:04.962+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.4', 9092) IPv4]
[2024-09-19T18:07:05.083+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-09-19T18:07:05.129+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.4', 9092)]>: Connection complete.
[2024-09-19T18:07:05.406+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-09-19T18:07:05.442+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-09-19T18:07:05.921+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1697220425703, 'account_id': 'A00057', 'customer_id': 'C00089', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00029', 'transaction_amount': 8193.65, 'exchange_rate': 1.0144}
[2024-09-19T18:07:05.970+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1708279625969, 'account_id': 'A00100', 'customer_id': 'C00074', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00015', 'transaction_amount': 2321.36, 'exchange_rate': 0.6649}
[2024-09-19T18:07:05.975+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1717956425975, 'account_id': 'A00012', 'customer_id': 'C00004', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00085', 'transaction_amount': 3933.64, 'exchange_rate': 1.0907}
[2024-09-19T18:07:05.976+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1714414025976, 'account_id': 'A00068', 'customer_id': 'C00053', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00086', 'transaction_amount': 8596.24, 'exchange_rate': 1.2805}
[2024-09-19T18:07:05.980+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1721671625980, 'account_id': 'A00089', 'customer_id': 'C00087', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00026', 'transaction_amount': 3698.4, 'exchange_rate': 1.1203}
[2024-09-19T18:07:05.986+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1711908425982, 'account_id': 'A00056', 'customer_id': 'C00063', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00037', 'transaction_amount': 9235.25, 'exchange_rate': 0.6726}
[2024-09-19T18:07:05.976+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.4', 9092) IPv4]
[2024-09-19T18:07:06.005+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1707674825990, 'account_id': 'A00042', 'customer_id': 'C00041', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00011', 'transaction_amount': 8854.01, 'exchange_rate': 1.2498}
[2024-09-19T18:07:06.001+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.4', 9092)]>: Connection complete.
[2024-09-19T18:07:06.027+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1708279626008, 'account_id': 'A00018', 'customer_id': 'C00086', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00083', 'transaction_amount': 1408.15, 'exchange_rate': 0.5812}
[2024-09-19T18:07:06.122+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1714068426120, 'account_id': 'A00014', 'customer_id': 'C00045', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00030', 'transaction_amount': 6642.74, 'exchange_rate': 1.2663}
