[2024-09-19T18:05:33.279+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-09-15T00:00:00+00:00 [queued]>
[2024-09-19T18:05:37.391+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-09-15T00:00:00+00:00 [queued]>
[2024-09-19T18:05:37.510+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-09-19T18:05:41.218+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-09-15 00:00:00+00:00
[2024-09-19T18:05:44.361+0000] {standard_task_runner.py:57} INFO - Started process 298 to run task
[2024-09-19T18:05:44.580+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-09-15T00:00:00+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpah0jm1fo']
[2024-09-19T18:05:50.292+0000] {standard_task_runner.py:85} INFO - Job 14: Subtask generate_txn_fact_data
[2024-09-19T18:06:22.180+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-09-15T00:00:00+00:00 [running]> on host 035d47951d03
[2024-09-19T18:06:51.982+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-09-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-09-15T00:00:00+00:00'
[2024-09-19T18:06:53.356+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.4', 9092) IPv4]
[2024-09-19T18:06:53.807+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-09-19T18:06:54.127+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.4', 9092)]>: Connection complete.
[2024-09-19T18:06:56.859+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-09-19T18:06:56.947+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-09-19T18:06:58.864+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1714759618298, 'account_id': 'A00078', 'customer_id': 'C00068', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00074', 'transaction_amount': 8726.66, 'exchange_rate': 1.1145}
[2024-09-19T18:06:59.295+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1725300419286, 'account_id': 'A00055', 'customer_id': 'C00063', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00012', 'transaction_amount': 2470.8, 'exchange_rate': 0.7302}
[2024-09-19T18:06:59.298+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1719511619298, 'account_id': 'A00064', 'customer_id': 'C00079', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00011', 'transaction_amount': 2394.48, 'exchange_rate': 0.9666}
[2024-09-19T18:06:59.302+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1706206019302, 'account_id': 'A00090', 'customer_id': 'C00028', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00077', 'transaction_amount': 9966.7, 'exchange_rate': 1.3501}
[2024-09-19T18:06:59.308+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1699812419307, 'account_id': 'A00024', 'customer_id': 'C00007', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00021', 'transaction_amount': 4830.62, 'exchange_rate': 1.025}
[2024-09-19T18:06:59.326+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1698257219325, 'account_id': 'A00052', 'customer_id': 'C00009', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00091', 'transaction_amount': 8503.39, 'exchange_rate': 1.3504}
[2024-09-19T18:06:59.332+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1719943619332, 'account_id': 'A00017', 'customer_id': 'C00059', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00023', 'transaction_amount': 7836.07, 'exchange_rate': 1.0317}
[2024-09-19T18:06:59.338+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1699726019338, 'account_id': 'A00045', 'customer_id': 'C00030', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00011', 'transaction_amount': 1454.65, 'exchange_rate': 0.7313}
[2024-09-19T18:06:59.427+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1723054019426, 'account_id': 'A00069', 'customer_id': 'C00088', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00088', 'transaction_amount': 979.42, 'exchange_rate': 0.9003}
[2024-09-19T18:06:59.432+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1712513219432, 'account_id': 'A00001', 'customer_id': 'C00019', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00016', 'transaction_amount': 3650.48, 'exchange_rate': 1.0399}
[2024-09-19T18:06:59.440+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1701281219440, 'account_id': 'A00093', 'customer_id': 'C00070', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00089', 'transaction_amount': 6768.48, 'exchange_rate': 0.7249}
