[2024-09-19T19:14:48.018+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:14:43.551647+00:00 [queued]>
[2024-09-19T19:14:48.034+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:14:43.551647+00:00 [queued]>
[2024-09-19T19:14:48.036+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-09-19T19:14:48.059+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-09-19 19:14:43.551647+00:00
[2024-09-19T19:14:48.096+0000] {standard_task_runner.py:57} INFO - Started process 2004 to run task
[2024-09-19T19:14:48.102+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-09-19T19:14:43.551647+00:00', '--job-id', '69', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp8cmpnwrw']
[2024-09-19T19:14:48.107+0000] {standard_task_runner.py:85} INFO - Job 69: Subtask generate_txn_fact_data
[2024-09-19T19:14:48.178+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:14:43.551647+00:00 [running]> on host 48913e9acee9
[2024-09-19T19:14:48.652+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-09-19T19:14:43.551647+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-19T19:14:43.551647+00:00'
[2024-09-19T19:14:48.738+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-19T19:14:48.773+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-09-19T19:14:48.814+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-19T19:14:48.997+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-09-19T19:14:49.006+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-09-19T19:14:49.132+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1703963689127, 'account_id': 'A00009', 'customer_id': 'C00032', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00044', 'transaction_amount': 3716.22, 'exchange_rate': 0.6467}
[2024-09-19T19:14:49.137+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1716837289136, 'account_id': 'A00019', 'customer_id': 'C00015', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00079', 'transaction_amount': 5377.39, 'exchange_rate': 0.8633}
[2024-09-19T19:14:49.138+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1725390889138, 'account_id': 'A00068', 'customer_id': 'C00045', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00036', 'transaction_amount': 8420.08, 'exchange_rate': 1.4049}
[2024-09-19T19:14:49.139+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1720552489139, 'account_id': 'A00068', 'customer_id': 'C00011', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00057', 'transaction_amount': 129.58, 'exchange_rate': 0.8546}
[2024-09-19T19:14:49.147+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1706037289145, 'account_id': 'A00085', 'customer_id': 'C00011', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00053', 'transaction_amount': 8952.8, 'exchange_rate': 0.8096}
[2024-09-19T19:14:49.149+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-19T19:14:49.153+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1707678889152, 'account_id': 'A00062', 'customer_id': 'C00069', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00039', 'transaction_amount': 253.18, 'exchange_rate': 0.6913}
[2024-09-19T19:14:49.173+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-19T19:14:49.182+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.5', 9092)]>: Closing connection. 
[2024-09-19T19:14:49.180+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1718219689179, 'account_id': 'A00055', 'customer_id': 'C00070', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00055', 'transaction_amount': 8697.64, 'exchange_rate': 0.873}
[2024-09-19T19:14:49.192+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1702581289189, 'account_id': 'A00084', 'customer_id': 'C00088', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00044', 'transaction_amount': 4936.44, 'exchange_rate': 1.2461}
