[2024-09-19T19:16:03.824+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:15:56.044748+00:00 [queued]>
[2024-09-19T19:16:03.843+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:15:56.044748+00:00 [queued]>
[2024-09-19T19:16:03.844+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-09-19T19:16:03.877+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-09-19 19:15:56.044748+00:00
[2024-09-19T19:16:03.928+0000] {standard_task_runner.py:57} INFO - Started process 2127 to run task
[2024-09-19T19:16:03.954+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-09-19T19:15:56.044748+00:00', '--job-id', '71', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpg4zwxbut']
[2024-09-19T19:16:03.962+0000] {standard_task_runner.py:85} INFO - Job 71: Subtask generate_txn_fact_data
[2024-09-19T19:16:04.508+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-19T19:15:56.044748+00:00 [running]> on host 48913e9acee9
[2024-09-19T19:16:04.749+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-09-19T19:15:56.044748+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-19T19:15:56.044748+00:00'
[2024-09-19T19:16:04.756+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-19T19:16:04.757+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-09-19T19:16:04.758+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-19T19:16:04.862+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-09-19T19:16:04.863+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-09-19T19:16:04.872+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1709406964870, 'account_id': 'A00060', 'customer_id': 'C00044', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00040', 'transaction_amount': 8905.75, 'exchange_rate': 0.5576}
[2024-09-19T19:16:04.873+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1700766964873, 'account_id': 'A00084', 'customer_id': 'C00070', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00013', 'transaction_amount': 2601.12, 'exchange_rate': 0.9392}
[2024-09-19T19:16:04.874+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1710098164874, 'account_id': 'A00010', 'customer_id': 'C00065', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00093', 'transaction_amount': 7780.46, 'exchange_rate': 1.3817}
[2024-09-19T19:16:04.874+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1722107764874, 'account_id': 'A00015', 'customer_id': 'C00100', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00012', 'transaction_amount': 7512.93, 'exchange_rate': 1.037}
[2024-09-19T19:16:04.875+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-19T19:16:04.875+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1702581364875, 'account_id': 'A00082', 'customer_id': 'C00094', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00088', 'transaction_amount': 1059.26, 'exchange_rate': 1.2332}
[2024-09-19T19:16:04.877+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-19T19:16:04.878+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1695496564877, 'account_id': 'A00091', 'customer_id': 'C00008', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00079', 'transaction_amount': 4266.69, 'exchange_rate': 0.5633}
[2024-09-19T19:16:04.879+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.5', 9092)]>: Closing connection. 
[2024-09-19T19:16:04.881+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1712690164881, 'account_id': 'A00019', 'customer_id': 'C00007', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00038', 'transaction_amount': 7356.86, 'exchange_rate': 1.0249}
[2024-09-19T19:16:04.887+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1698952564886, 'account_id': 'A00087', 'customer_id': 'C00009', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00082', 'transaction_amount': 2090.38, 'exchange_rate': 1.0749}
